Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Accessory size (product.metafields.shopify.accessory-size),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Bar mounting type (product.metafields.shopify.bar-mounting-type),Bra features (product.metafields.shopify.bra-features),Bra strap type (product.metafields.shopify.bra-strap-type),Bra support level (product.metafields.shopify.bra-support-level),Care instructions (product.metafields.shopify.care-instructions),Carry options (product.metafields.shopify.carry-options),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Display technology (product.metafields.shopify.display-technology),Exercise equipment material (product.metafields.shopify.exercise-equipment-material),Fabric (product.metafields.shopify.fabric),Handwear material (product.metafields.shopify.handwear-material),Jump rope design (product.metafields.shopify.jump-rope-design),Material (product.metafields.shopify.material),Pants length type (product.metafields.shopify.pants-length-type),Resistance level (product.metafields.shopify.resistance-level),Support/Brace material (product.metafields.shopify.support-brace-material),Target gender (product.metafields.shopify.target-gender),Waist rise (product.metafields.shopify.waist-rise),Weight unit supported (product.metafields.shopify.weight-unit-supported),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sexy-gym-top-women-crease-sports-bra-running-back-cross-yoga-bra-breathable-sports-underwear-women-fitness-workout-top-women,Sexy Gym Top Women Crease Sports Bra Running Back Cross Yoga Bra Breathable Sports Underwear Women Fitness Workout Top Women,"<h1>SPECIFICATIONS</h1><p><span>Brand Name</span>: <span style=""color:#333"">hearuisavy</span></p><p><span>CN</span>: <span style=""color:#333"">Guangdong</span></p><p><span>Choice</span>: <span style=""color:#333"">yes</span></p><p><span>Closure Type</span>: <span style=""color:#333"">None</span></p><p><span>Color</span>: <span style=""color:#333"">Black Gray Green Blue White Purple Orange</span></p><p><span>Craft of Weaving</span>: <span style=""color:#333"">Knit</span></p><p><span>Department Name</span>: <span style=""color:#333"">Women</span></p><p><span>Fabric</span>: <span style=""color:#333"">75%Nylon+ 25%Spandex</span></p><p><span>Feature</span>: <span style=""color:#333"">Breathable</span></p><p><span>Function</span>: <span style=""color:#333"">Quick-DryingBreathable/Gathering</span></p><p><span>Hign-concerned Chemical</span>: <span style=""color:#333"">None</span></p><p><span>Material</span>: <span style=""color:#333"">Spandex,Nylon</span></p><p><span>Model Number</span>: <span style=""color:#333"">YW418</span></p><p><span>Origin</span>: <span style=""color:#333"">Mainland China</span></p><p><span>Product Name</span>: <span style=""color:#333"">Women's sports crew neck vest</span></p><p><span>Service</span>: <span style=""color:#333"">Support Purchasing/Customization</span></p><p><span>Size</span>: <span style=""color:#333"">S M L XL</span></p><p><span>Sports Type</span>: <span style=""color:#333"">Running</span></p><p><span>semi_Choice</span>: <span style=""color:#333"">yes</span></p><p><span>size_info</span>: <span style=""color:#333"">{""sizeInfoList"":[{""length"":{""cm"":""64"",""inch"":""25.20""},""size"":""S"",""vid"":-1},{""length"":{""cm"":""68"",""inch"":""26.77""},""size"":""M"",""vid"":-2},{""length"":{""cm"":""72"",""inch"":""28.35""},""size"":""L"",""vid"":-3},{""length"":{""cm"":""76"",""inch"":""29.92""},""size"":""XL"",""vid"":-4}]}</span></p><div class=""detailmodule_image"">
<img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S52f0bb33b25449d58476592f8bc7cfccX.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S2f736d2e6cb644daa667cf6828b45a14w.jpg"" slate-data-type=""image"">
</div><div class=""detailmodule_text""><p style=""text-align:center;display:block;width:100%"" align=""center"">NOTE</p></div><div class=""detailmodule_text""><p style=""font-family:OpenSans;font-size:14px;font-weight:bold;text-align:left;color:rgb(102, 102, 102);background-color:rgb(255, 255, 255);display:block;width:100%"" align=""left"">1. Please allow 1-3cm measuring deviation due to manual measurement.</p></div><div class=""detailmodule_text""><p style=""font-family:OpenSans;font-size:14px;font-weight:bold;text-align:left;color:rgb(102, 102, 102);background-color:rgb(255, 255, 255);display:block;width:100%"" align=""left"">2. Due to the different monitor and light effect, the actual color of the item might be slightly different from the color showed on the pictures.</p></div><div class=""detailmodule_text""><p style=""text-align:center;display:block;width:100%"" align=""center"">Model Shows</p></div><div class=""detailmodule_image"">
<img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S0ace75f08faf44b2b3e3b1be0a03d2f9F.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/Sdcbba6e6b9f04f8c9739c2b7ca6db9d9A.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S46f549188e8a444d9f8b457340a9401fp.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/Sd65bd12fe4404f8897f5f70ba1691a12s.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S0b55a47dd52747e4a32a8eb31438ac02c.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/Sff2e96d6a51c4eed8cf7662107e6362d8.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S355b5959ad9f46aba6218ec97b3bb9daE.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S5e3aa455e46c465bb66cd296b638b521q.jpg"" slate-data-type=""image"">
</div><div class=""detailmodule_image"">
<img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S31bb9b04123f4340974c89a32e094c29g.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S2297528e2ae245fe91ba5019093bd6b90.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/Sb92dfe60c9574e5a89e40229af141957D.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S94351f1ad3124b5e981ee2f9125a2e7fp.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S73d5a6fb565944bfa32b3ef2232c8fbb0.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/Sb511241161d1482eb08ccd2d8cd00e16G.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S0e1575f7a3a64ab2ab0e268169820fc4u.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/Sd41a5e6d90944fbdba8d6738dbe7627fg.jpg"" slate-data-type=""image""><img style=""margin-bottom:10px"" class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S1cbc53253e0b4a80a5362277323642c31.jpg"" slate-data-type=""image"">
</div><div class=""detailmodule_text""><p style=""font-family:OpenSans;font-size:20px;font-weight:900;line-height:28px;white-space:pre-wrap;color:rgb(0, 0, 0);margin-bottom:12px"" class=""detail-desc-decorate-title"">FAQ</p></div><div class=""detailmodule_text"">
<p style=""font-family:OpenSans;font-size:20px;font-weight:900;line-height:28px;white-space:pre-wrap;color:rgb(0, 0, 0);margin-bottom:12px"" class=""detail-desc-decorate-title"">Size：</p>
<p style=""font-family:OpenSans;font-size:14px;font-weight:bold;text-align:left;color:rgb(102, 102, 102);background-color:rgb(255, 255, 255);display:block;width:100%"" align=""left"">This product are very elastic, don't worry, please rest assured to choose the size that suits you. If you have special needs or not sure which size fits you, please contact our customer service.</p>
</div><div class=""detailmodule_text"">
<p style=""font-family:OpenSans;font-size:20px;font-weight:900;line-height:28px;white-space:pre-wrap;color:rgb(0, 0, 0);margin-bottom:12px"" class=""detail-desc-decorate-title"">Customized logo：</p>
<p style=""font-family:OpenSans;font-size:14px;font-weight:bold;text-align:left;color:rgb(102, 102, 102);background-color:rgb(255, 255, 255);display:block;width:100%"" align=""left"">We support logo customization of different materials, tag customization, packaging bag customization, you can contact private message if you need it</p>
</div><div class=""detailmodule_text"">
<p style=""font-family:OpenSans;font-size:20px;font-weight:900;line-height:28px;white-space:pre-wrap;color:rgb(0, 0, 0);margin-bottom:12px"" class=""detail-desc-decorate-title"">Dropshipping  wholesales：</p>
<p style=""font-family:OpenSans;font-size:14px;font-weight:bold;text-align:left;color:rgb(102, 102, 102);background-color:rgb(255, 255, 255);display:block;width:100%"" align=""left"">Our products will not leave any store-related information, support on behalf of delivery, wholesale</p>
</div><div class=""detailmodule_text"">
<p style=""font-family:OpenSans;font-size:20px;font-weight:900;line-height:28px;white-space:pre-wrap;color:rgb(0, 0, 0);margin-bottom:12px"" class=""detail-desc-decorate-title"">Package not received</p>
<p style=""font-family:OpenSans;font-size:14px;font-weight:bold;text-align:left;color:rgb(102, 102, 102);background-color:rgb(255, 255, 255);display:block;width:100%"" align=""left"">If your package transit time exceeds 35 days, please contact us, we will extend your order to protect user rights and give you a satisfactory solution</p>
</div><div class=""detailmodule_text"">
<p style=""font-family:OpenSans;font-size:20px;font-weight:900;line-height:28px;white-space:pre-wrap;color:rgb(0, 0, 0);margin-bottom:12px"" class=""detail-desc-decorate-title"">Return the goods</p>
<p style=""font-family:OpenSans;font-size:14px;font-weight:bold;text-align:left;color:rgb(102, 102, 102);background-color:rgb(255, 255, 255);display:block;width:100%"" align=""left"">If you have any dissatisfaction with the product received, we can return it within 7 days for no reason. Please ensure that the packaging tag is perfect when returning the product</p>
</div><div class=""detailmodule_text"">
<p style=""font-family:OpenSans;font-size:20px;font-weight:900;line-height:28px;white-space:pre-wrap;color:rgb(0, 0, 0);margin-bottom:12px"" class=""detail-desc-decorate-title"">When to ship</p>
<p style=""font-family:OpenSans;font-size:14px;font-weight:bold;text-align:left;color:rgb(102, 102, 102);background-color:rgb(255, 255, 255);display:block;width:100%"" align=""left"">We have our own factory. Orders are generally sent out within 3 days. If there are special circumstances or holidays, the delivery time will be appropriately extended.</p>
</div><div class=""detailmodule_image""><img class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/S56bc6568ea38488e8e998ea16cc00e61R.jpg"" slate-data-type=""image""></div><p><br></p>",SportsGear eHarmony Living,,"","",false,Color,Purple,,Size,M,,,,,14:202997806#Purple;5:361386,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sc130e1ed4acd4c108021bfc575df057az.webp?v=1753932193,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sbf5468ae64b84191b11c574c4b1646443.webp?v=1753932197,kg,,13.79,draft
sexy-gym-top-women-crease-sports-bra-running-back-cross-yoga-bra-breathable-sports-underwear-women-fitness-workout-top-women,,,,,,,,,Purple,,,L,,,,,14:202997806#Purple;5:361385,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S85bcce9d99234792b49a4873fe97db49i.webp?v=1753932195,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sbf5468ae64b84191b11c574c4b1646443.webp?v=1753932197,kg,,13.92,
sexy-gym-top-women-crease-sports-bra-running-back-cross-yoga-bra-breathable-sports-underwear-women-fitness-workout-top-women,,,,,,,,,Orange,,,XL,,,,,14:201739809#Orange;5:100014065,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S7dc0eaad3e7f424c92d6ce7f46530e35Q.webp?v=1753932195,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sdfc95e81cf8b4724b4050879120a7ebfx.webp?v=1753932194,kg,,14.00,
sexy-gym-top-women-crease-sports-bra-running-back-cross-yoga-bra-breathable-sports-underwear-women-fitness-workout-top-women,,,,,,,,,Purple,,,S,,,,,14:202997806#Purple;5:100014064,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,40.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S4b0194870c904e06beb784e10c3b352es.webp?v=1753932194,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sbf5468ae64b84191b11c574c4b1646443.webp?v=1753932197,kg,,13.58,
sexy-gym-top-women-crease-sports-bra-running-back-cross-yoga-bra-breathable-sports-underwear-women-fitness-workout-top-women,,,,,,,,,Purple,,,XL,,,,,14:202997806#Purple;5:100014065,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sb7a379535c154e85a1a3e6ef1c013c35v.webp?v=1753932194,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sbf5468ae64b84191b11c574c4b1646443.webp?v=1753932197,kg,,14.00,
sexy-gym-top-women-crease-sports-bra-running-back-cross-yoga-bra-breathable-sports-underwear-women-fitness-workout-top-women,,,,,,,,,Gray,,,M,,,,,14:200203854#Gray;5:361386,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S826eed69687e400ebaa4dd164f59dde0D.webp?v=1753932195,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S8df3f910ab2c4f5db2f7908cd5de118fM.webp?v=1753932196,kg,,13.72,
sexy-gym-top-women-crease-sports-bra-running-back-cross-yoga-bra-breathable-sports-underwear-women-fitness-workout-top-women,,,,,,,,,Gray,,,L,,,,,14:200203854#Gray;5:361385,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S52f0bb33b25449d58476592f8bc7cfccX.webp?v=1753932196,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S8df3f910ab2c4f5db2f7908cd5de118fM.webp?v=1753932196,kg,,13.84,
sexy-gym-top-women-crease-sports-bra-running-back-cross-yoga-bra-breathable-sports-underwear-women-fitness-workout-top-women,,,,,,,,,White,,,XL,,,,,14:200004891#White;5:100014065,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S2f736d2e6cb644daa667cf6828b45a14w.webp?v=1753932194,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S1dbb0705d9dc4dca8d23cf9f9e850337S.webp?v=1753932193,kg,,13.72,
sexy-gym-top-women-crease-sports-bra-running-back-cross-yoga-bra-breathable-sports-underwear-women-fitness-workout-top-women,,,,,,,,,Gray,,,S,,,,,14:200203854#Gray;5:100014064,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S0ace75f08faf44b2b3e3b1be0a03d2f9F.webp?v=1753932195,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S8df3f910ab2c4f5db2f7908cd5de118fM.webp?v=1753932196,kg,,13.98,
sexy-gym-top-women-crease-sports-bra-running-back-cross-yoga-bra-breathable-sports-underwear-women-fitness-workout-top-women,,,,,,,,,Orange,,,M,,,,,14:201739809#Orange;5:361386,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sdcbba6e6b9f04f8c9739c2b7ca6db9d9A.webp?v=1753932193,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sdfc95e81cf8b4724b4050879120a7ebfx.webp?v=1753932194,kg,,13.89,
