Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Accessory size (product.metafields.shopify.accessory-size),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Bar mounting type (product.metafields.shopify.bar-mounting-type),Bra features (product.metafields.shopify.bra-features),Bra strap type (product.metafields.shopify.bra-strap-type),Bra support level (product.metafields.shopify.bra-support-level),Care instructions (product.metafields.shopify.care-instructions),Carry options (product.metafields.shopify.carry-options),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Display technology (product.metafields.shopify.display-technology),Exercise equipment material (product.metafields.shopify.exercise-equipment-material),Fabric (product.metafields.shopify.fabric),Handwear material (product.metafields.shopify.handwear-material),Jump rope design (product.metafields.shopify.jump-rope-design),Material (product.metafields.shopify.material),Pants length type (product.metafields.shopify.pants-length-type),Resistance level (product.metafields.shopify.resistance-level),Support/Brace material (product.metafields.shopify.support-brace-material),Target gender (product.metafields.shopify.target-gender),Waist rise (product.metafields.shopify.waist-rise),Weight unit supported (product.metafields.shopify.weight-unit-supported),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
womens-sports-bra-breathable-workout,Sexy Gym Top | Sports eHarmony Living | Breathable Sports Bra,"<h2>Elevate Your Workout with the Sexy Gym Top</h2><p>Introducing the Sexy Gym Top by Sports eHarmony Living, a versatile addition to your activewear collection. Designed for those who embrace an active lifestyle, this sports bra combines style, comfort, and functionality, making it an essential for any workout enthusiast.</p><h3>Key Features</h3><ul><li><strong>Breathable Fabric:</strong> Crafted from a high-quality blend of 75% Nylon and 25% Spandex, this women's sports bra is both breathable and durable, ensuring you stay comfortable during intense workouts.</li><li><strong>Supportive Design:</strong> The cross-back style provides excellent support, allowing you to focus on your performance without distractions.</li><li><strong>Quick-Drying:</strong> With quick-drying capabilities, this yoga sports bra will keep you dry and comfortable, no matter how intense your session gets.</li><li><strong>Versatile Use:</strong> Perfect for running, yoga, or any fitness activity, this fitness bra is designed to meet the demands of various exercises.</li><li><strong>Multiple Size Options:</strong> Available in sizes S, M, L, and XL, ensuring a perfect fit for every body type.</li></ul><h3>Why Choose Sports eHarmony Living?</h3><p>At Sports eHarmony Living, we're committed to providing activewear that supports your lifestyle. Our Sexy Gym Top is more than just a workout piece; it's a statement of style and performance.</p><h3>FAQs</h3><p><strong>How do I choose the right size?</strong><br>Our sports bra is designed to be elastic and accommodating. Refer to our size chart for guidance, and feel free to contact our customer service for personalized assistance.</p><p><strong>What makes this bra suitable for various workouts?</strong><br>Its breathable fabric and supportive design make it ideal for diverse activities, from running to yoga.</p><p><strong>Can I customize the bra?</strong><br>Yes, customization options are available for logos, tags, and packaging. Contact us for more details.</p><p><strong>What is the return policy?</strong><br>We offer a 7-day return policy for any dissatisfaction, provided the product is returned with intact packaging tags.</p><p>Enhance your workout experience with the Sexy Gym Top by Sports eHarmony Living. Whether you're hitting the gym, going for a run, or stretching in a yoga class, this running sports bra will support you every step of the way. Discover comfort and style in one seamless package and take the first step towards a more empowered you.</p>",SportsGear eHarmony Living,,,,false,Color,Purple,,Size,M,,,,,14:202997806#Purple;5:361386,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sc130e1ed4acd4c108021bfc575df057az.webp?v=1753932193,1,,false,Sexy Gym Top | Sports eHarmony Living | Breathable Sports Bra,"Discover the Sexy Gym Top by Sports eHarmony Living. Breathable, supportive, and quick-drying, perfect for yoga, running, and workouts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sbf5468ae64b84191b11c574c4b1646443.webp?v=1753932197,kg,,13.79,draft
womens-sports-bra-breathable-workout,,,,,,,,,Purple,,,L,,,,,14:202997806#Purple;5:361385,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S85bcce9d99234792b49a4873fe97db49i.webp?v=1753932195,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sbf5468ae64b84191b11c574c4b1646443.webp?v=1753932197,kg,,13.92,
womens-sports-bra-breathable-workout,,,,,,,,,Orange,,,XL,,,,,14:201739809#Orange;5:100014065,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S7dc0eaad3e7f424c92d6ce7f46530e35Q.webp?v=1753932195,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sdfc95e81cf8b4724b4050879120a7ebfx.webp?v=1753932194,kg,,14.00,
womens-sports-bra-breathable-workout,,,,,,,,,Purple,,,S,,,,,14:202997806#Purple;5:100014064,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,40.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S4b0194870c904e06beb784e10c3b352es.webp?v=1753932194,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sbf5468ae64b84191b11c574c4b1646443.webp?v=1753932197,kg,,13.58,
womens-sports-bra-breathable-workout,,,,,,,,,Purple,,,XL,,,,,14:202997806#Purple;5:100014065,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sb7a379535c154e85a1a3e6ef1c013c35v.webp?v=1753932194,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sbf5468ae64b84191b11c574c4b1646443.webp?v=1753932197,kg,,14.00,
womens-sports-bra-breathable-workout,,,,,,,,,Gray,,,M,,,,,14:200203854#Gray;5:361386,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S826eed69687e400ebaa4dd164f59dde0D.webp?v=1753932195,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S8df3f910ab2c4f5db2f7908cd5de118fM.webp?v=1753932196,kg,,13.72,
womens-sports-bra-breathable-workout,,,,,,,,,Gray,,,L,,,,,14:200203854#Gray;5:361385,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S52f0bb33b25449d58476592f8bc7cfccX.webp?v=1753932196,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S8df3f910ab2c4f5db2f7908cd5de118fM.webp?v=1753932196,kg,,13.84,
womens-sports-bra-breathable-workout,,,,,,,,,White,,,XL,,,,,14:200004891#White;5:100014065,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S2f736d2e6cb644daa667cf6828b45a14w.webp?v=1753932194,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S1dbb0705d9dc4dca8d23cf9f9e850337S.webp?v=1753932193,kg,,13.72,
womens-sports-bra-breathable-workout,,,,,,,,,Gray,,,S,,,,,14:200203854#Gray;5:100014064,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S0ace75f08faf44b2b3e3b1be0a03d2f9F.webp?v=1753932195,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/S8df3f910ab2c4f5db2f7908cd5de118fM.webp?v=1753932196,kg,,13.98,
womens-sports-bra-breathable-workout,,,,,,,,,Orange,,,M,,,,,14:201739809#Orange;5:361386,150.0,dsers-fulfillment-service,deny,dsers-fulfillment-service,41.99,0.00,true,true,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sdcbba6e6b9f04f8c9739c2b7ca6db9d9A.webp?v=1753932193,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0973/2607/2148/files/Sdfc95e81cf8b4724b4050879120a7ebfx.webp?v=1753932194,kg,,13.89,
