date,adjustable dumbbells,Massage Gun,kettlebell,yoga mat,pull up bar,pickleball paddle,tennis racket bag,ski goggles,Jump Rope,ski glove,ski boot bag,neck warmer
2020-07-19,18,24,76,58,28,4,1,7,74,1,4,52
2020-07-26,17,26,73,52,28,5,1,8,66,0,3,35
2020-08-02,16,27,72,55,27,4,1,6,67,0,2,29
2020-08-09,15,26,74,54,26,4,1,6,65,1,1,19
2020-08-16,15,28,69,50,25,4,1,7,65,0,2,19
2020-08-23,13,25,65,49,25,4,1,6,55,0,2,18
2020-08-30,12,26,63,49,23,5,1,8,60,0,3,18
2020-09-06,12,25,64,49,21,5,1,7,57,0,2,18
2020-09-13,11,25,62,42,21,4,1,7,61,0,2,20
2020-09-20,10,23,60,40,20,5,1,8,61,1,2,27
2020-09-27,11,24,59,38,20,4,1,8,58,1,3,33
2020-10-04,11,24,58,38,19,4,1,9,60,1,3,34
2020-10-11,12,27,64,36,20,4,1,11,54,1,4,38
2020-10-18,11,27,67,33,20,4,1,10,51,1,3,41
2020-10-25,12,27,75,32,20,4,1,13,49,1,4,51
2020-11-01,13,27,76,33,21,4,0,11,45,1,4,48
2020-11-08,13,37,74,37,21,4,1,15,49,2,6,50
2020-11-15,17,36,74,38,22,4,1,17,51,1,6,55
2020-11-22,18,64,71,48,23,5,1,25,49,2,9,68
2020-11-29,17,59,68,44,21,5,1,26,59,2,9,78
2020-12-06,15,58,69,43,21,5,1,27,53,3,9,79
2020-12-13,13,59,68,40,21,4,1,33,49,3,10,73
2020-12-20,14,76,67,36,22,4,1,35,47,2,9,58
2020-12-27,21,64,88,43,27,4,1,46,60,3,12,71
2021-01-03,21,45,100,48,28,4,1,39,60,3,9,66
2021-01-10,19,44,95,46,26,4,1,36,58,3,7,57
2021-01-17,18,44,90,45,24,4,0,35,62,2,9,49
2021-01-24,16,38,84,42,25,3,1,34,71,2,7,51
2021-01-31,14,39,78,43,24,4,1,37,62,2,7,44
